time	V(v_rl)	V(vi)
0.000000000000000e+000	0.000000e+000	0.000000e+000
6.782555697706687e-008	8.457883e-005	1.065401e-004
1.356511139541337e-007	1.577043e-004	2.130803e-004
2.034766709312006e-007	2.193763e-004	3.196204e-004
2.713022279082675e-007	2.695950e-004	4.261605e-004
3.391277848853344e-007	3.083603e-004	5.327007e-004
4.069533418624012e-007	3.356721e-004	6.392408e-004
4.747788988394679e-007	3.515306e-004	7.457809e-004
8.708545534496704e-007	4.126947e-004	1.367935e-003
2.543037819742839e-006	4.434365e-004	3.994594e-003
1.422427509913090e-005	5.331290e-004	2.234333e-002
2.422427509913091e-005	6.358536e-004	3.805094e-002
3.422427509913090e-005	7.695429e-004	5.375820e-002
4.422427509913090e-005	9.469773e-004	6.946492e-002
5.422427509913090e-005	1.182688e-003	8.517096e-002
6.422427509913091e-005	1.495675e-003	1.008762e-001
7.422427509913091e-005	1.910476e-003	1.165804e-001
8.422427509913091e-005	2.458294e-003	1.322834e-001
9.422427509913091e-005	3.178010e-003	1.479852e-001
1.042242750991309e-004	4.116738e-003	1.636855e-001
1.142242750991309e-004	5.329186e-003	1.793841e-001
1.242242750991309e-004	6.876930e-003	1.950810e-001
1.342242750991309e-004	8.827115e-003	2.107760e-001
1.442242750991309e-004	1.124839e-002	2.264689e-001
1.542242750991309e-004	1.420567e-002	2.421596e-001
1.642242750991309e-004	1.775512e-002	2.578478e-001
1.742242750991309e-004	2.193966e-002	2.735336e-001
1.842242750991309e-004	2.678614e-002	2.892166e-001
1.942242750991309e-004	3.230430e-002	3.048967e-001
2.042242750991309e-004	3.848785e-002	3.205739e-001
2.142242750991309e-004	4.531687e-002	3.362479e-001
2.242242750991309e-004	5.276105e-002	3.519186e-001
2.342242750991309e-004	6.078307e-002	3.675858e-001
2.442242750991309e-004	6.934173e-002	3.832494e-001
2.542242750991309e-004	7.839442e-002	3.989092e-001
2.742242750991310e-004	9.781506e-002	4.302168e-001
2.942242750991310e-004	1.187332e-001	4.615074e-001
3.242242750991311e-004	1.523471e-001	5.084088e-001
3.499385608134169e-004	1.832566e-001	5.485808e-001
3.756528465277027e-004	2.148910e-001	5.887104e-001
4.013671322419885e-004	2.472503e-001	6.287977e-001
4.270814179562742e-004	2.803345e-001	6.688426e-001
4.527957036705601e-004	3.141435e-001	7.088453e-001
4.785099893848459e-004	3.486775e-001	7.488055e-001
5.042242750991316e-004	3.839364e-001	7.887235e-001
5.827957036705604e-004	4.937878e-001	9.105278e-001
6.613671322419892e-004	6.041428e-001	1.031594e+000
7.399385608134179e-004	7.150014e-001	1.151923e+000
8.185099893848469e-004	8.263636e-001	1.271514e+000
8.970814179562756e-004	9.382294e-001	1.390367e+000
9.756528465277044e-004	1.050599e+000	1.508482e+000
1.054224275099133e-003	1.163472e+000	1.625859e+000
1.252795703670562e-003	1.447426e+000	1.920092e+000
1.451367132241991e-003	1.722393e+000	2.204207e+000
1.649938560813421e-003	1.988374e+000	2.478206e+000
1.848509989384850e-003	2.245369e+000	2.742089e+000
2.047081417956279e-003	2.493376e+000	2.995854e+000
2.245652846527708e-003	2.732398e+000	3.239503e+000
2.444224275099137e-003	2.962432e+000	3.473034e+000
2.784224275099138e-003	3.320237e+000	3.836714e+000
3.211367132241984e-003	3.717709e+000	4.239596e+000
3.638509989384831e-003	4.030427e+000	4.556569e+000
4.065652846527678e-003	4.258389e+000	4.787635e+000
4.492795703670525e-003	4.401595e+000	4.932792e+000
4.919938560813372e-003	4.460046e+000	4.992041e+000
5.347081417956218e-003	4.433741e+000	4.965382e+000
5.774224275099065e-003	4.322681e+000	4.852814e+000
5.784224275099064e-003	4.318919e+000	4.849007e+000
6.091367132241909e-003	4.174526e+000	4.703233e+000
6.398509989384754e-003	3.992570e+000	4.519044e+000
